player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.number,player.position,player.photo
10115,Robson Bambu,Robson,Alves de Barros,28,1997-11-12,Santos,Brazil,Brazil,185 cm,69 kg,30,Defender,https://media.api-sports.io/football/players/10115.png
22177,I. Ganago,Ignatius,Kpene Ganago,26,1999-02-16,Douala,Cameroon,Cameroon,179 cm,73 kg,7,Attacker,https://media.api-sports.io/football/players/22177.png
113807,E. Cissé,Edouard,Cissé,47,1978-03-30,Paul,France,France,186 cm,76 kg,,Midfielder,https://media.api-sports.io/football/players/113807.png
104861,D. Digard,Didier,Digard,39,1986-07-12,Gisors,France,France,183 cm,76 kg,,Midfielder,https://media.api-sports.io/football/players/104861.png
91404,B. Dramé,Boukary,Dramé,40,1985-07-22,Villepinte,France,Senegal,180 cm,78 kg,,Defender,https://media.api-sports.io/football/players/91404.png
50808,G. van der Wiel,Gregory,van der Wiel,37,1988-02-03,Amsterdam,Netherlands,Netherlands,183 cm,69 kg,,Defender,https://media.api-sports.io/football/players/50808.png
49985,M. Erdinç,Mevlüt,Erdinç,38,1987-02-25,Saint-Claude,France,Türkiye,181 cm,85 kg,,Attacker,https://media.api-sports.io/football/players/49985.png
28434,D. N&apos;Gog,David,N'Gog,36,1989-04-01,Gennevilliers,France,France,190 cm,76 kg,,Attacker,https://media.api-sports.io/football/players/28434.png
781,J. Pastore,Javier Matías,Pastore,36,1989-06-20,Córdoba,Argentina,Argentina,187 cm,78 kg,,Midfielder,https://media.api-sports.io/football/players/781.png
13093,E. Lavezzi,Ezequiel Iván,Lavezzi,40,1985-05-03,Rosario,Argentina,Argentina,173 cm,75 kg,,Attacker,https://media.api-sports.io/football/players/13093.png
114413,Ronaldinho Gaúcho,Ronaldo,de Assis Moreira,45,1980-03-21,Porto Alegre,Brazil,Brazil,182 cm,80 kg,,Midfielder,https://media.api-sports.io/football/players/114413.png
869,B. Matuidi,Blaise,Matuidi,38,1987-04-09,Toulouse,France,France,180 cm,75 kg,,Midfielder,https://media.api-sports.io/football/players/869.png
20824,Grégory Bourillon,Grégory,Bourillon,41,1984-07-01,Laval,France,France,187 cm,74 kg,,Defender,https://media.api-sports.io/football/players/20824.png
113729,J. Rothen,Jérôme,Rothen,47,1978-03-31,Châtenay-Malabry,France,France,177 cm,74 kg,,Midfielder,https://media.api-sports.io/football/players/113729.png
104086,S. Tiéné,Siaka Chico,Tiéné,43,1982-02-22,Abidjan,Côte d'Ivoire,Côte d'Ivoire,176 cm,72 kg,,Defender,https://media.api-sports.io/football/players/104086.png
3389,S. Sessègnon,Stéphane,Sessègnon,41,1984-06-01,,Benin,Benin,172 cm,72 kg,,Midfielder,https://media.api-sports.io/football/players/3389.png
163,S. Aurier,Sèrge Alain Stéphane,Aurier,32,1992-12-24,Ouragahio,Côte d'Ivoire,Côte d'Ivoire,176 cm,76 kg,24,Defender,https://media.api-sports.io/football/players/163.png
933,K. Gameiro,Kevin,Dominique Gameiro,38,1987-05-09,Senlis,France,France,172 cm,70 kg,9,Attacker,https://media.api-sports.io/football/players/933.png
7,A. Diallo,Abdou-Lakhad,Diallo,29,1996-05-04,Tours,France,Senegal,187 cm,79 kg,22,Defender,https://media.api-sports.io/football/players/7.png
267,J. Draxler,Julian,Draxler,32,1993-09-20,Gladbeck,Germany,Germany,185 cm,72 kg,34,Midfielder,https://media.api-sports.io/football/players/267.png
18842,M. Sakho,Mamadou,Sakho,35,1990-02-13,Paris,France,France,187 cm,83 kg,75,Defender,https://media.api-sports.io/football/players/18842.png
481,G. Krychowiak,Grzegorz,Krychowiak,35,1990-01-29,Gryfice,Poland,Poland,186 cm,82 kg,5,Midfielder,https://media.api-sports.io/football/players/481.png
258,Juan Bernat,Juan,Bernat Velasco,32,1993-03-01,Valencia,Spain,Spain,177 cm,67 kg,12,Defender,https://media.api-sports.io/football/players/258.png
1264,Y. Sabaly,Youssouf,Sabaly,32,1993-03-05,Chesnay,France,Senegal,174 cm,67 kg,23,Defender,https://media.api-sports.io/football/players/1264.png
2056,Pablo Sarabia,Pablo,Sarabia García,33,1992-05-11,Madrid,Spain,Spain,174 cm,70 kg,21,Midfielder,https://media.api-sports.io/football/players/2056.png
263,L. Kurzawa,Layvin Marc,Kurzawa,33,1992-09-04,Fréjus,France,France,182 cm,74 kg,32,Defender,https://media.api-sports.io/football/players/263.png
9970,Nenê,Anderson Luis,de Carvalho,44,1981-07-19,Jundiaí,Brazil,Brazil,182 cm,80 kg,77,Midfielder,https://media.api-sports.io/football/players/9970.png
2283,David Luiz,David Luiz,Moreira Marinho,38,1987-04-22,Diadema,Brazil,Brazil,188 cm,84 kg,23,Defender,https://media.api-sports.io/football/players/2283.png
276,Neymar,Neymar,da Silva Santos Júnior,33,1992-02-05,Mogi das Cruzes,Brazil,Brazil,175 cm,68 kg,10,Attacker,https://media.api-sports.io/football/players/276.png
178,Lucas Moura,Lucas,Rodrigues Moura da Silva,33,1992-08-13,São Paulo,Brazil,Brazil,172 cm,72 kg,7,Attacker,https://media.api-sports.io/football/players/178.png
271,L. Paredes,Leandro Daniel,Paredes,31,1994-06-29,San Justo,Argentina,Argentina,180 cm,75 kg,16,Midfielder,https://media.api-sports.io/football/players/271.png
265,A. Zagré,Arthur,Zagré,24,2001-10-04,Neuilly-sur-Seine,France,France,168 cm,55 kg,13,Defender,https://media.api-sports.io/football/players/265.png
147831,A. Kalimuendo,Arnaud,Kalimuendo-Muinga,23,2002-01-20,Suresnes,France,France,178 cm,79 kg,9,Attacker,https://media.api-sports.io/football/players/147831.png
41585,Gonçalo Ramos,Gonçalo,Matias Ramos,24,2001-06-20,Lisboa,Portugal,Portugal,185 cm,79 kg,9,Attacker,https://media.api-sports.io/football/players/41585.png
21104,R. Kolo Muani,Randal,Kolo Muani,27,1998-12-05,Bondy,France,France,187 cm,73 kg,23,Attacker,https://media.api-sports.io/football/players/21104.png
343027,D. Doué,Désiré,Doué,20,2005-06-03,Angers,France,France,181 cm,79 kg,14,Midfielder,https://media.api-sports.io/football/players/343027.png
